fraud,election_viol,election_viol2,num_closed_polls,dist2kabul,elevation
0,0,0,0,504.16522,2488.7378
0,0,0,1,516.74585,2209.0581
0,.016429534,.00026992959,18,455.5047,2545.1931
0,0,0,1,389.87027,2607.7695
0,0,0,2,264.67892,3147.4856
0,0,0,1,376.84296,2417.5784
0,0,0,1,313.06479,2799.6748
0,0,0,8,385.41644,2795.2476
0,0,0,1,139.37798,3308.3071
0,.043667167,.0019068216,0,111.88544,3133.355
0,.086051114,.0074047945,2,157.51669,2550.4971
0,0,0,4,209.17778,3282.8188
0,0,0,0,205.34836,3212.8926
0,0,0,0,205.72903,2965.6318
0,0,0,1,156.1696,2906.4619
1,.014866573,.00022101498,58,153.61403,2201.811
1,0,0,55,197.21564,2172.5703
1,.14334041,.020546472,26,239.05565,2032.4498
1,0,0,20,265.3367,2289.0498
1,0,0,23,290.62292,2035.8127
0,.25267413,.063844219,51,239.22145,2009.3234
1,0,0,23,185.5696,2535.8677
0,0,0,43,198.38066,2429.3481
1,.19919525,.039678749,57,202.59285,2210.9038
0,.067037605,.0044940407,31,174.52113,2199.3315
0,.055816811,.0031155162,57,173.24529,2450.4185
1,.039831117,.0015865178,9,153.58636,2512.8181
1,.031834967,.0010134651,26,164.17497,2637.3774
1,0,0,41,139.98814,2138.9316
1,0,0,20,216.86845,2171.1926
0,0,0,1,302.6637,2181.6201
1,.036051627,.0012997197,9,184.88278,2161.7222
1,0,0,15,171.9653,2311.7188
0,0,0,8,177.97823,3973.8145
0,.17810231,.031720437,11,222.35533,3230.969
1,0,0,50,186.60437,3254.7388
0,.80882353,.65419549,30,234.66071,4083.7996
1,0,0,12,165.37109,2910.8257
1,0,0,0,133.64861,3011.4399
0,0,0,7,133.24068,2630.8164
0,0,0,3,341.88086,799.29529
0,0,0,0,295.4682,1900.4648
0,.010112757,.00010226786,3,310.94992,2794.9502
0,0,0,0,255.27881,2878.043
1,0,0,0,313.61511,1100.0374
0,0,0,0,358.91998,1131.2189
0,0,0,0,299.18314,1390.1564
0,.023399111,.00054751837,94,153.7148,1202.7616
0,0,0,9,130.05983,1570.72
0,0,0,33,159.10461,1810.9766
1,.064754255,.0041931137,5,155.97324,2305.2637
1,0,0,7,116.62643,2472.2908
0,0,0,18,146.37453,1280.6639
1,.025476409,.00064904743,66,158.95891,1100.6582
0,0,0,16,136.63898,1844.5981
0,.13413045,.017990978,36,129.72212,1455.7648
1,0,0,24,139.57416,1255.7778
0,.042986717,.0018478578,10,163.83563,1448.9423
1,0,0,8,124.35922,2419.0735
1,0,0,15,139.55295,2033.692
0,0,0,0,98.03157,3303.1284
0,0,0,7,95.58548,3782.5239
0,0,0,22,114.50339,3500.8726
1,0,0,2,147.67975,3920.1841
0,0,0,5,85.527107,3230.5601
0,0,0,1,79.446274,2439.1467
0,0,0,0,85.253494,3154.2749
0,0,0,0,296.57596,2588.7285
0,0,0,0,295.64246,2292.9451
0,0,0,0,268.5806,2746.4597
0,.015956089,.00025459676,0,359.01126,1883.8356
0,0,0,0,321.65598,2706.3486
0,0,0,1,336.3179,2219.5652
0,0,0,0,218.77545,2854.5161
0,0,0,0,301.54965,2869.4385
0,0,0,3,264.24936,2491.4307
